Empresa,Dataset,Modelo,Base/Fine-tuning,Capas LoRa,Tamaño batch,Learning rate,Iters,Adapter,Accuracy Entrenamiento,Accuracy Validación,Accuracy Test,EC Entrenamiento,EC Validación,EC Testeo,ECN Entrenamiento,ECN Validación,ECN Testeo
mistralai,socialiqa,Mistral-7B-v0.1,Base,n/a,n/a,0,n/a,n/a,0.4772,0.48,0.4246153846153846,1.593816570606892,1.5904173331568214,1.6725703905047624,1.4512755833666258,1.448876912924927,1.5224920165390095
mistralai,hellaswag,Mistral-7B-v0.1,Fine-tuning,2,1,1.0e-05,5000,Best,0.158,0.16,0.164,1.382823799667792,1.3728828853122803,1.3767740092848562,0.9977200988436938,0.995381023157758,0.9935381636105214
microsoft,socialiqa,phi-1.5,Fine-tuning,16,4,1.0e-05,5000,Best,0.6962,0.7033333333333334,0.5917948717948718,0.733292768852036,0.6746152801083137,0.9387655535797744,0.6677104895498177,0.6145763037713885,0.8545293114482055
microsoft,socialiqa,phi-1.5,Fine-tuning,16,5,1.0e-05,5000,Best,,,,,,,,,
microsoft,socialiqa,phi-1.5,Fine-tuning,8,4,1.0e-05,5000,Best,0.718,0.7266666666666667,0.6112820512820513,0.6197233320277223,0.5735700874331551,0.8010479211995725,0.564201041535644,0.5225238660943228,0.7291692009037036
microsoft,socialiqa,phi-1.5,Fine-tuning,24,4,1.0e-05,5000,Best,0.6962,0.7033333333333334,0.5917948717948718,0.733292768852036,0.6746152801083137,0.9387655535797744,0.6677104895498177,0.6145763037713885,0.8545293114482055
microsoft,socialiqa,phi-1.5,Base,n/a,n/a,0,n/a,n/a,0.6962,0.7033333333333334,0.5917948717948718,0.733292768852036,0.6746152801083137,0.9387655535797744,0.6677104895498177,0.6145763037713885,0.8545293114482055
microsoft,hellaswag,phi-1.5,Fine-tuning,20,5,1.0e-05,1000,Best,0.3404,0.32,0.383,1.0228802468303302,1.0136727838705506,0.9986389723944786,0.738016496948166,0.7349419102153772,0.7206589886108109
microsoft,hellaswag,phi-1.5,Fine-tuning,16,5,1.0e-04,2000,Best,0.542,0.51,0.462,0.7794187323137958,0.8433564171868053,0.8791171601226913,0.5625183223246222,0.6114576479729381,0.634407129100272
microsoft,hellaswag,phi-1.5,Fine-tuning,16,5,1.0e-05,2000,Best,0.346,0.32666666666666666,0.348,0.9644185684162238,0.9873290318610419,0.9745993416380592,0.6960355103523417,0.7158419326563654,0.7033110015340005
microsoft,hellaswag,phi-1.5,Fine-tuning,16,5,1.0e-05,1001,Best,0.4422,0.43,0.399,0.8975633830728009,0.9022196385269756,0.9284673793400982,0.6475993507715194,0.6541351756934612,0.6700202786488655
microsoft,hellaswag,phi-1.5,Fine-tuning,8,5,1.0e-04,5000,Best,0.376,0.42333333333333334,0.397,0.9483862885958348,0.898907535977553,0.9580262217827217,0.6844647708079741,0.6517338061260479,0.6913511560610809
microsoft,hellaswag,phi-1.5,Fine-tuning,8,5,1.0e-05,1000,Best,0.3404,0.32,0.383,1.0228802468303302,1.0136727838705506,0.9986389723944786,0.738016496948166,0.7349419102153772,0.7206589886108109
microsoft,hellaswag,phi-1.5,Fine-tuning,24,5,1.0e-05,1000,Best,0.3868,0.3933333333333333,0.379,0.9810267073830288,0.9607800074537649,0.9837396730385172,0.7078188245779194,0.6965931267076299,0.7099070409082978
microsoft,hellaswag,phi-1.5,Fine-tuning,4,5,1.0e-05,1000,Best,0.364,0.31,0.368,1.0035330873896593,1.0054320694430903,0.9876993076145197,0.7246617620837003,0.7289671553445485,0.7127644762054286
microsoft,hellaswag,phi-1.5,Base,n/a,n/a,0,n/a,n/a,0.3404,0.32,0.383,1.0228802468303302,1.0136727838705506,0.9986389723944786,0.738016496948166,0.7349419102153772,0.7206589886108109
microsoft,hellaswag,phi-1.5,Fine-tuning,2,5,1.0e-05,1000,Best,0.341,0.33,0.367,1.080010937132304,1.0762977989701463,1.0536895754197777,0.7792366920780777,0.7803469140041733,0.7603857697552543
microsoft,socialiqa,phi-2,Fine-tuning,20,5,1.0e-05,1000,Best,0.7504,0.7233333333333334,0.6692307692307692,0.5613333437539654,0.6042676402192296,0.7450343080227049,0.5111303120380629,0.550489417842667,0.6781817375085767
microsoft,socialiqa,phi-2,Fine-tuning,16,5,1.0e-04,10000,Best,0.7362,0.8066666666666666,0.721025641025641,0.613033151073564,0.4565061077449188,0.6109463823003092,0.558206330132503,0.4158782710968096,0.5561256369154695
microsoft,socialiqa,phi-2,Fine-tuning,16,5,1.0e-05,10000,Best,0.7362,0.8166666666666667,0.7220512820512821,0.613033151073564,0.4292302300711887,0.6066794871196659,0.558206330132503,0.3910298744222632,0.552241613916508
microsoft,socialiqa,phi-2,Fine-tuning,16,5,1.0e-05,5000,Best,0.8202,0.82,0.7266666666666667,0.4044940115558297,0.4390144811129116,0.5999191252373858,0.36831795695834885,0.399943352989526,0.5460878651318657
microsoft,socialiqa,phi-2,Fine-tuning,8,5,1.0e-05,5000,Best,0.769,0.77,0.6820512820512821,0.4977804053691004,0.5317899649470252,0.6767089147687647,0.4532612515430042,0.4844620640483938,0.6159872406727319
microsoft,socialiqa,phi-2,Fine-tuning,8,5,1.0e-05,1000,Best,0.7346,0.71,0.6569230769230769,0.5736804359037233,0.6031095247719309,0.7369920274390392,0.5223731379515626,0.5494343716082754,0.6708610976923555
microsoft,socialiqa,phi-2,Fine-tuning,24,5,1.0e-05,5000,Best,0.7786,0.79,0.6964102564102564,0.5144334438028881,0.5685111515853009,0.7100638132586213,0.4684249200222716,0.5179151621617768,0.6463491753765279
microsoft,socialiqa,phi-2,Base,n/a,n/a,0,n/a,n/a,0.7362,0.7233333333333334,0.6671794871794872,0.6130330845298878,0.647854005777328,0.7954049180059255,0.5582062695401823,0.5901967121026248,0.7240325492496468
microsoft,socialiqa,phi-2,Fine-tuning,2,5,1.0e-05,1000,Best,0.7384,0.7266666666666667,0.6558974358974359,0.6189044051376755,0.6460466767006264,0.7991077081906613,0.56355248666362,0.5885502305354129,0.7274030848801177
microsoft,socialiqa,phi-2,Fine-tuning,2,5,1.0e-05,1000,Best,,,,,,,,,
microsoft,hellaswag,phi-2,Fine-tuning,16,4,1.0e-05,5000,Best,0.4068686868686869,0.61,0.561,1.054807831167112,0.6892720409832608,0.7752349065169918,0.7610612827433708,0.4997420454794224,0.5594414188811011
microsoft,hellaswag,phi-2,Fine-tuning,16,5,1.0e-05,5000,Best,,,,,,,,,
microsoft,hellaswag,phi-2,Fine-tuning,8,5,1.0e-05,1000,Best,0.4064,0.4266666666666667,0.442,1.055544388488695,0.9220319253461886,0.9150480824444989,0.7615838123512556,0.6684996532175089,0.6603363616418385
microsoft,hellaswag,phi-2,Fine-tuning,24,5,1.0e-05,1000,Best,0.4064,0.42333333333333334,0.475,1.055544388488695,1.0336484213948962,0.9304304214316469,0.7615838123512556,0.7494248864697025,0.6714368906251675
microsoft,hellaswag,phi-2,Base,n/a,n/a,0,n/a,n/a,0.4064,0.42333333333333334,0.437,1.0555444792769038,1.0336484243031456,1.0391584701192889,0.7615840088640741,0.7494248238053525,0.7498995260388305
microsoft,hellaswag,phi-2,Fine-tuning,2,5,1.0e-05,1000,Best,,0.45,0.438,,0.981579589683381,0.9770658977031315,,0.7116734217878102,0.7050909699193167
